,precision,recall,f1-score,support
apple_pie,0.31896551724137934,0.24666666666666667,0.2781954887218045,150.0
baby_back_ribs,0.4342857142857143,0.5066666666666667,0.4676923076923077,150.0
baklava,0.5698324022346368,0.68,0.6200607902735563,150.0
beef_carpaccio,0.42105263157894735,0.64,0.5079365079365079,150.0
beef_tartare,0.4626865671641791,0.41333333333333333,0.43661971830985913,150.0
beet_salad,0.3782051282051282,0.3933333333333333,0.3856209150326797,150.0
beignets,0.6868131868131868,0.8333333333333334,0.7530120481927712,150.0
bibimbap,0.6745562130177515,0.76,0.7147335423197492,150.0
bread_pudding,0.42391304347826086,0.26,0.32231404958677684,150.0
breakfast_burrito,0.3888888888888889,0.28,0.32558139534883723,150.0
bruschetta,0.5116279069767442,0.29333333333333333,0.37288135593220345,150.0
caesar_salad,0.5128205128205128,0.6666666666666666,0.5797101449275363,150.0
cannoli,0.6296296296296297,0.5666666666666667,0.5964912280701755,150.0
caprese_salad,0.6060606060606061,0.5333333333333333,0.5673758865248227,150.0
carrot_cake,0.5354330708661418,0.4533333333333333,0.4909747292418773,150.0
ceviche,0.44,0.36666666666666664,0.4,150.0
cheese_plate,0.4896551724137931,0.47333333333333333,0.48135593220338985,150.0
cheesecake,0.49504950495049505,0.3333333333333333,0.39840637450199207,150.0
chicken_curry,0.5,0.48,0.4897959183673469,150.0
chicken_quesadilla,0.532051282051282,0.5533333333333333,0.5424836601307189,150.0
chicken_wings,0.6967741935483871,0.72,0.7081967213114754,150.0
chocolate_cake,0.43902439024390244,0.48,0.4585987261146497,150.0
chocolate_mousse,0.45161290322580644,0.28,0.345679012345679,150.0
churros,0.6335403726708074,0.68,0.6559485530546624,150.0
clam_chowder,0.7191780821917808,0.7,0.7094594594594595,150.0
club_sandwich,0.5113636363636364,0.6,0.5521472392638037,150.0
crab_cakes,0.5119047619047619,0.2866666666666667,0.36752136752136755,150.0
creme_brulee,0.7307692307692307,0.6333333333333333,0.6785714285714285,150.0
croque_madame,0.532967032967033,0.6466666666666666,0.5843373493975903,150.0
cup_cakes,0.6149068322981367,0.66,0.6366559485530547,150.0
deviled_eggs,0.8151260504201681,0.6466666666666666,0.7211895910780669,150.0
donuts,0.6370967741935484,0.5266666666666666,0.5766423357664234,150.0
dumplings,0.8857142857142857,0.8266666666666667,0.8551724137931035,150.0
edamame,0.9533333333333334,0.9533333333333334,0.9533333333333334,150.0
eggs_benedict,0.6583850931677019,0.7066666666666667,0.6816720257234726,150.0
escargots,0.6825396825396826,0.5733333333333334,0.6231884057971014,150.0
falafel,0.6,0.36,0.45,150.0
filet_mignon,0.3422818791946309,0.34,0.3411371237458194,150.0
fish_and_chips,0.593939393939394,0.6533333333333333,0.6222222222222222,150.0
