,precision,recall,f1-score,support
apple_pie,0.34375,0.22,0.2682926829268293,150.0
baby_back_ribs,0.4527027027027027,0.44666666666666666,0.4496644295302013,150.0
baklava,0.6597222222222222,0.6333333333333333,0.6462585034013605,150.0
beef_carpaccio,0.5448275862068965,0.5266666666666666,0.535593220338983,150.0
beef_tartare,0.46464646464646464,0.30666666666666664,0.36947791164658633,150.0
beet_salad,0.4074074074074074,0.36666666666666664,0.38596491228070173,150.0
beignets,0.6510416666666666,0.8333333333333334,0.7309941520467836,150.0
bibimbap,0.7633587786259542,0.6666666666666666,0.7117437722419929,150.0
bread_pudding,0.37815126050420167,0.3,0.33457249070631967,150.0
breakfast_burrito,0.4174757281553398,0.2866666666666667,0.33992094861660077,150.0
bruschetta,0.4722222222222222,0.34,0.39534883720930236,150.0
caesar_salad,0.4669811320754717,0.66,0.5469613259668509,150.0
cannoli,0.5961538461538461,0.62,0.607843137254902,150.0
caprese_salad,0.4943181818181818,0.58,0.5337423312883436,150.0
carrot_cake,0.4539877300613497,0.49333333333333335,0.4728434504792332,150.0
ceviche,0.366120218579235,0.44666666666666666,0.4024024024024024,150.0
cheese_plate,0.5,0.4866666666666667,0.49324324324324326,150.0
cheesecake,0.4752475247524752,0.32,0.38247011952191234,150.0
chicken_curry,0.5471698113207547,0.38666666666666666,0.453125,150.0
chicken_quesadilla,0.47928994082840237,0.54,0.5078369905956114,150.0
chicken_wings,0.6705882352941176,0.76,0.7124999999999999,150.0
chocolate_cake,0.3793103448275862,0.44,0.4074074074074074,150.0
chocolate_mousse,0.4528301886792453,0.32,0.37500000000000006,150.0
churros,0.6923076923076923,0.66,0.6757679180887373,150.0
clam_chowder,0.6973684210526315,0.7066666666666667,0.7019867549668874,150.0
club_sandwich,0.5251396648044693,0.6266666666666667,0.5714285714285714,150.0
crab_cakes,0.4496124031007752,0.38666666666666666,0.41577060931899645,150.0
creme_brulee,0.7313432835820896,0.6533333333333333,0.6901408450704225,150.0
croque_madame,0.5705128205128205,0.5933333333333334,0.5816993464052287,150.0
cup_cakes,0.6329113924050633,0.6666666666666666,0.6493506493506493,150.0
deviled_eggs,0.6547619047619048,0.7333333333333333,0.6918238993710691,150.0
donuts,0.680672268907563,0.54,0.6022304832713754,150.0
dumplings,0.8741258741258742,0.8333333333333334,0.8532423208191126,150.0
edamame,0.9281045751633987,0.9466666666666667,0.9372937293729374,150.0
eggs_benedict,0.55,0.7333333333333333,0.6285714285714286,150.0
escargots,0.6206896551724138,0.6,0.6101694915254238,150.0
falafel,0.5819672131147541,0.47333333333333333,0.5220588235294118,150.0
filet_mignon,0.32386363636363635,0.38,0.3496932515337423,150.0
fish_and_chips,0.6326530612244898,0.62,0.6262626262626263,150.0
foie_gras,0.3524590163934426,0.2866666666666667,0.31617647058823534,150.0
french_fries,0.738255033557047,0.7333333333333333,0.7357859531772574,150.0
french_onion_soup,0.5555555555555556,0.7,0.6194690265486726,150.0
french_toast,0.4437869822485207,0.5,0.47021943573667707,150.0
