,precision,recall,f1-score,support
apple_pie,0.7185185185185186,0.6466666666666666,0.6807017543859649,150.0
baby_back_ribs,0.7197452229299363,0.7533333333333333,0.7361563517915309,150.0
baklava,0.8734177215189873,0.92,0.896103896103896,150.0
beef_carpaccio,0.7407407407407407,0.8,0.7692307692307692,150.0
beef_tartare,0.7290322580645161,0.7533333333333333,0.7409836065573769,150.0
beet_salad,0.6296296296296297,0.68,0.6538461538461539,150.0
beignets,0.8490566037735849,0.9,0.8737864077669903,150.0
bibimbap,0.8789808917197452,0.92,0.8990228013029316,150.0
bread_pudding,0.6875,0.66,0.673469387755102,150.0
breakfast_burrito,0.7320261437908496,0.7466666666666667,0.7392739273927392,150.0
bruschetta,0.7063492063492064,0.5933333333333334,0.644927536231884,150.0
caesar_salad,0.9365079365079365,0.7866666666666666,0.8550724637681159,150.0
cannoli,0.8543046357615894,0.86,0.8571428571428571,150.0
caprese_salad,0.8120805369127517,0.8066666666666666,0.8093645484949833,150.0
carrot_cake,0.803030303030303,0.7066666666666667,0.75177304964539,150.0
ceviche,0.7333333333333333,0.66,0.6947368421052631,150.0
cheese_plate,0.8940397350993378,0.9,0.8970099667774086,150.0
cheesecake,0.6959459459459459,0.6866666666666666,0.6912751677852349,150.0
chicken_curry,0.7052023121387283,0.8133333333333334,0.7554179566563468,150.0
chicken_quesadilla,0.7834394904458599,0.82,0.8013029315960912,150.0
chicken_wings,0.8859060402684564,0.88,0.8829431438127091,150.0
chocolate_cake,0.6380368098159509,0.6933333333333334,0.6645367412140576,150.0
chocolate_mousse,0.5675675675675675,0.56,0.563758389261745,150.0
churros,0.9436619718309859,0.8933333333333333,0.9178082191780823,150.0
clam_chowder,0.875,0.84,0.8571428571428572,150.0
club_sandwich,0.8205128205128205,0.8533333333333334,0.8366013071895425,150.0
crab_cakes,0.782258064516129,0.6466666666666666,0.7080291970802919,150.0
creme_brulee,0.9084507042253521,0.86,0.8835616438356164,150.0
croque_madame,0.8125,0.8666666666666667,0.8387096774193549,150.0
cup_cakes,0.810126582278481,0.8533333333333334,0.8311688311688312,150.0
deviled_eggs,0.9183673469387755,0.9,0.9090909090909091,150.0
donuts,0.774390243902439,0.8466666666666667,0.8089171974522292,150.0
dumplings,0.918918918918919,0.9066666666666666,0.912751677852349,150.0
edamame,0.9932432432432432,0.98,0.9865771812080537,150.0
eggs_benedict,0.9271523178807947,0.9333333333333333,0.9302325581395349,150.0
escargots,0.8275862068965517,0.8,0.8135593220338982,150.0
falafel,0.782312925170068,0.7666666666666667,0.7744107744107744,150.0
filet_mignon,0.5898876404494382,0.7,0.6402439024390243,150.0
fish_and_chips,0.8851351351351351,0.8733333333333333,0.8791946308724832,150.0
foie_gras,0.6484375,0.5533333333333333,0.5971223021582734,150.0
french_fries,0.881578947368421,0.8933333333333333,0.8874172185430463,150.0
french_onion_soup,0.8333333333333334,0.8333333333333334,0.8333333333333334,150.0
french_toast,0.8345323741007195,0.7733333333333333,0.8027681660899654,150.0
fried_calamari,0.8235294117647058,0.84,0.8316831683168315,150.0
fried_rice,0.8562091503267973,0.8733333333333333,0.8646864686468646,150.0
frozen_yogurt,0.8253012048192772,0.9133333333333333,0.8670886075949367,150.0
garlic_bread,0.7818181818181819,0.86,0.819047619047619,150.0
gnocchi,0.7230769230769231,0.6266666666666667,0.6714285714285715,150.0
greek_salad,0.7091836734693877,0.9266666666666666,0.8034682080924854,150.0
grilled_cheese_sandwich,0.808,0.6733333333333333,0.7345454545454546,150.0
grilled_salmon,0.6046511627906976,0.6933333333333334,0.6459627329192547,150.0
guacamole,0.9172413793103448,0.8866666666666667,0.9016949152542374,150.0
gyoza,0.896,0.7466666666666667,0.8145454545454546,150.0
hamburger,0.782051282051282,0.8133333333333334,0.7973856209150326,150.0
hot_and_sour_soup,0.8860759493670886,0.9333333333333333,0.9090909090909091,150.0
hot_dog,0.8533333333333334,0.8533333333333334,0.8533333333333335,150.0
huevos_rancheros,0.7727272727272727,0.5666666666666667,0.6538461538461539,150.0
hummus,0.8387096774193549,0.6933333333333334,0.7591240875912408,150.0
ice_cream,0.6826347305389222,0.76,0.719242902208202,150.0
lasagna,0.6871165644171779,0.7466666666666667,0.7156549520766775,150.0
lobster_bisque,0.8451612903225807,0.8733333333333333,0.8590163934426229,150.0
lobster_roll_sandwich,0.8741258741258742,0.8333333333333334,0.8532423208191126,150.0
macaroni_and_cheese,0.8778625954198473,0.7666666666666667,0.8185053380782918,150.0
macarons,0.9130434782608695,0.84,0.8749999999999999,150.0
miso_soup,0.9210526315789473,0.9333333333333333,0.9271523178807947,150.0
mussels,0.9013157894736842,0.9133333333333333,0.9072847682119205,150.0
nachos,0.7419354838709677,0.7666666666666667,0.7540983606557377,150.0
omelette,0.8214285714285714,0.7666666666666667,0.793103448275862,150.0
onion_rings,0.8520710059171598,0.96,0.9028213166144201,150.0
oysters,0.9470198675496688,0.9533333333333334,0.9501661129568105,150.0
pad_thai,0.8896551724137931,0.86,0.8745762711864407,150.0
paella,0.8675496688741722,0.8733333333333333,0.8704318936877077,150.0
pancakes,0.7032967032967034,0.8533333333333334,0.7710843373493976,150.0
panna_cotta,0.6826347305389222,0.76,0.719242902208202,150.0
peking_duck,0.7301587301587301,0.92,0.8141592920353983,150.0
pho,0.8910256410256411,0.9266666666666666,0.9084967320261438,150.0
pizza,0.8322147651006712,0.8266666666666667,0.8294314381270903,150.0
pork_chop,0.5928571428571429,0.5533333333333333,0.5724137931034482,150.0
poutine,0.8905109489051095,0.8133333333333334,0.8501742160278746,150.0
prime_rib,0.8095238095238095,0.68,0.7391304347826089,150.0
pulled_pork_sandwich,0.8040540540540541,0.7933333333333333,0.7986577181208053,150.0
ramen,0.8309859154929577,0.7866666666666666,0.8082191780821917,150.0
ravioli,0.5,0.6066666666666667,0.5481927710843374,150.0
red_velvet_cake,0.8888888888888888,0.7466666666666667,0.8115942028985508,150.0
risotto,0.7432432432432432,0.7333333333333333,0.738255033557047,150.0
samosa,0.8389261744966443,0.8333333333333334,0.8361204013377926,150.0
sashimi,0.7965116279069767,0.9133333333333333,0.8509316770186336,150.0
scallops,0.7884615384615384,0.5466666666666666,0.6456692913385826,150.0
seaweed_salad,0.8554216867469879,0.9466666666666667,0.8987341772151898,150.0
shrimp_and_grits,0.7482993197278912,0.7333333333333333,0.7407407407407408,150.0
spaghetti_bolognese,0.9310344827586207,0.9,0.9152542372881356,150.0
spaghetti_carbonara,0.9210526315789473,0.9333333333333333,0.9271523178807947,150.0
spring_rolls,0.8343949044585988,0.8733333333333333,0.8534201954397393,150.0
steak,0.5151515151515151,0.4533333333333333,0.4822695035460992,150.0
strawberry_shortcake,0.6559139784946236,0.8133333333333334,0.726190476190476,150.0
sushi,0.7784810126582279,0.82,0.7987012987012987,150.0
tacos,0.7214285714285714,0.6733333333333333,0.696551724137931,150.0
takoyaki,0.8294117647058824,0.94,0.88125,150.0
tiramisu,0.7862068965517242,0.76,0.7728813559322034,150.0
tuna_tartare,0.6,0.56,0.5793103448275861,150.0
waffles,0.8582089552238806,0.7666666666666667,0.8098591549295775,150.0
accuracy,0.7953795379537953,0.7953795379537953,0.7953795379537953,0.7953795379537953
macro avg,0.7980193942620641,0.7953795379537953,0.7945722198460876,15150.0
weighted avg,0.798019394262064,0.7953795379537953,0.7945722198460876,15150.0
