,precision,recall,f1-score,support
apple_pie,0.6805555555555556,0.6533333333333333,0.6666666666666667,150.0
baby_back_ribs,0.7483870967741936,0.7733333333333333,0.7606557377049181,150.0
baklava,0.8214285714285714,0.92,0.8679245283018867,150.0
beef_carpaccio,0.7666666666666667,0.7666666666666667,0.7666666666666667,150.0
beef_tartare,0.7307692307692307,0.76,0.7450980392156863,150.0
beet_salad,0.6985294117647058,0.6333333333333333,0.6643356643356643,150.0
beignets,0.8675496688741722,0.8733333333333333,0.8704318936877077,150.0
bibimbap,0.9178082191780822,0.8933333333333333,0.9054054054054055,150.0
bread_pudding,0.5449438202247191,0.6466666666666666,0.5914634146341463,150.0
breakfast_burrito,0.7669172932330827,0.68,0.7208480565371025,150.0
bruschetta,0.7163120567375887,0.6733333333333333,0.6941580756013745,150.0
caesar_salad,0.8113207547169812,0.86,0.8349514563106797,150.0
cannoli,0.8783783783783784,0.8666666666666667,0.87248322147651,150.0
caprese_salad,0.8571428571428571,0.76,0.8056537102473498,150.0
carrot_cake,0.8045112781954887,0.7133333333333334,0.7561837455830389,150.0
ceviche,0.7559055118110236,0.64,0.6931407942238267,150.0
cheese_plate,0.808641975308642,0.8733333333333333,0.8397435897435898,150.0
cheesecake,0.7481481481481481,0.6733333333333333,0.7087719298245614,150.0
chicken_curry,0.7349397590361446,0.8133333333333334,0.7721518987341773,150.0
chicken_quesadilla,0.7469879518072289,0.8266666666666667,0.7848101265822784,150.0
chicken_wings,0.8791946308724832,0.8733333333333333,0.8762541806020067,150.0
chocolate_cake,0.6986301369863014,0.68,0.6891891891891893,150.0
chocolate_mousse,0.5810055865921788,0.6933333333333334,0.6322188449848025,150.0
churros,0.9428571428571428,0.88,0.9103448275862068,150.0
clam_chowder,0.8300653594771242,0.8466666666666667,0.8382838283828382,150.0
club_sandwich,0.8435374149659864,0.8266666666666667,0.835016835016835,150.0
crab_cakes,0.6042780748663101,0.7533333333333333,0.6706231454005935,150.0
creme_brulee,0.8657718120805369,0.86,0.8628762541806019,150.0
croque_madame,0.8344370860927153,0.84,0.8372093023255813,150.0
cup_cakes,0.7647058823529411,0.8666666666666667,0.8125,150.0
deviled_eggs,0.8874172185430463,0.8933333333333333,0.8903654485049834,150.0
donuts,0.7692307692307693,0.8666666666666667,0.8150470219435738,150.0
dumplings,0.8874172185430463,0.8933333333333333,0.8903654485049834,150.0
edamame,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0
eggs_benedict,0.875,0.9333333333333333,0.9032258064516129,150.0
escargots,0.8582089552238806,0.7666666666666667,0.8098591549295775,150.0
falafel,0.8512396694214877,0.6866666666666666,0.7601476014760148,150.0
filet_mignon,0.5930232558139535,0.68,0.6335403726708074,150.0
fish_and_chips,0.8253012048192772,0.9133333333333333,0.8670886075949367,150.0
foie_gras,0.6272727272727273,0.46,0.5307692307692308,150.0
french_fries,0.868421052631579,0.88,0.8741721854304636,150.0
french_onion_soup,0.8113207547169812,0.86,0.8349514563106797,150.0
french_toast,0.8181818181818182,0.78,0.7986348122866895,150.0
fried_calamari,0.8,0.8533333333333334,0.8258064516129033,150.0
fried_rice,0.8431372549019608,0.86,0.8514851485148515,150.0
frozen_yogurt,0.8536585365853658,0.9333333333333333,0.8917197452229298,150.0
garlic_bread,0.782608695652174,0.84,0.8102893890675241,150.0
gnocchi,0.6645569620253164,0.7,0.6818181818181818,150.0
greek_salad,0.7647058823529411,0.8666666666666667,0.8125,150.0
grilled_cheese_sandwich,0.7956204379562044,0.7266666666666667,0.759581881533101,150.0
grilled_salmon,0.6928571428571428,0.6466666666666666,0.6689655172413792,150.0
guacamole,0.86875,0.9266666666666666,0.896774193548387,150.0
gyoza,0.9,0.78,0.8357142857142857,150.0
hamburger,0.7483870967741936,0.7733333333333333,0.7606557377049181,150.0
hot_and_sour_soup,0.9194630872483222,0.9133333333333333,0.9163879598662208,150.0
hot_dog,0.84,0.84,0.8399999999999999,150.0
huevos_rancheros,0.6329113924050633,0.6666666666666666,0.6493506493506493,150.0
hummus,0.8333333333333334,0.7333333333333333,0.7801418439716311,150.0
ice_cream,0.7379310344827587,0.7133333333333334,0.7254237288135593,150.0
lasagna,0.6705202312138728,0.7733333333333333,0.718266253869969,150.0
lobster_bisque,0.8639455782312925,0.8466666666666667,0.8552188552188553,150.0
lobster_roll_sandwich,0.7852760736196319,0.8533333333333334,0.817891373801917,150.0
macaroni_and_cheese,0.8846153846153846,0.7666666666666667,0.8214285714285715,150.0
macarons,0.8972602739726028,0.8733333333333333,0.8851351351351352,150.0
miso_soup,0.9387755102040817,0.92,0.9292929292929293,150.0
mussels,0.86875,0.9266666666666666,0.896774193548387,150.0
nachos,0.8273381294964028,0.7666666666666667,0.7958477508650519,150.0
omelette,0.7972972972972973,0.7866666666666666,0.7919463087248321,150.0
onion_rings,0.9214285714285714,0.86,0.8896551724137931,150.0
oysters,0.9594594594594594,0.9466666666666667,0.9530201342281879,150.0
pad_thai,0.8589743589743589,0.8933333333333333,0.8758169934640523,150.0
paella,0.8848920863309353,0.82,0.8512110726643598,150.0
pancakes,0.8169934640522876,0.8333333333333334,0.8250825082508251,150.0
panna_cotta,0.6586826347305389,0.7333333333333333,0.6940063091482649,150.0
peking_duck,0.864516129032258,0.8933333333333333,0.8786885245901639,150.0
pho,0.8930817610062893,0.9466666666666667,0.9190938511326862,150.0
pizza,0.78125,0.8333333333333334,0.8064516129032259,150.0
pork_chop,0.5375,0.5733333333333334,0.5548387096774193,150.0
poutine,0.847682119205298,0.8533333333333334,0.8504983388704319,150.0
prime_rib,0.7654320987654321,0.8266666666666667,0.7948717948717949,150.0
pulled_pork_sandwich,0.7597402597402597,0.78,0.7697368421052632,150.0
ramen,0.8695652173913043,0.8,0.8333333333333333,150.0
ravioli,0.6201550387596899,0.5333333333333333,0.5734767025089605,150.0
red_velvet_cake,0.8571428571428571,0.76,0.8056537102473498,150.0
risotto,0.762589928057554,0.7066666666666667,0.7335640138408305,150.0
samosa,0.8955223880597015,0.8,0.8450704225352113,150.0
sashimi,0.8375,0.8933333333333333,0.8645161290322579,150.0
scallops,0.7428571428571429,0.52,0.6117647058823529,150.0
seaweed_salad,0.879746835443038,0.9266666666666666,0.9025974025974027,150.0
shrimp_and_grits,0.7266666666666667,0.7266666666666667,0.7266666666666666,150.0
spaghetti_bolognese,0.9300699300699301,0.8866666666666667,0.907849829351536,150.0
spaghetti_carbonara,0.8875,0.9466666666666667,0.9161290322580645,150.0
spring_rolls,0.8431372549019608,0.86,0.8514851485148515,150.0
steak,0.5163934426229508,0.42,0.4632352941176471,150.0
strawberry_shortcake,0.7290322580645161,0.7533333333333333,0.7409836065573769,150.0
sushi,0.810126582278481,0.8533333333333334,0.8311688311688312,150.0
tacos,0.6824324324324325,0.6733333333333333,0.6778523489932886,150.0
takoyaki,0.8535031847133758,0.8933333333333333,0.8729641693811074,150.0
tiramisu,0.8029197080291971,0.7333333333333333,0.7665505226480835,150.0
tuna_tartare,0.5384615384615384,0.56,0.5490196078431373,150.0
waffles,0.851063829787234,0.8,0.8247422680412372,150.0
accuracy,0.7935313531353135,0.7935313531353135,0.7935313531353135,0.7935313531353135
macro avg,0.7951818720949343,0.7935313531353136,0.7927149151179758,15150.0
weighted avg,0.7951818720949343,0.7935313531353135,0.7927149151179759,15150.0
