,precision,recall,f1-score,support
apple_pie,0.8561151079136691,0.7933333333333333,0.8235294117647058,150.0
baby_back_ribs,0.8636363636363636,0.8866666666666667,0.875,150.0
baklava,0.9477124183006536,0.9666666666666667,0.9570957095709571,150.0
beef_carpaccio,0.9041095890410958,0.88,0.8918918918918919,150.0
beef_tartare,0.8301886792452831,0.88,0.8543689320388349,150.0
beet_salad,0.7818181818181819,0.86,0.819047619047619,150.0
beignets,0.9632352941176471,0.8733333333333333,0.9160839160839161,150.0
bibimbap,0.9791666666666666,0.94,0.9591836734693877,150.0
bread_pudding,0.7452229299363057,0.78,0.762214983713355,150.0
breakfast_burrito,0.916030534351145,0.8,0.8540925266903915,150.0
bruschetta,0.8461538461538461,0.8066666666666666,0.8259385665529009,150.0
caesar_salad,0.9256756756756757,0.9133333333333333,0.9194630872483222,150.0
cannoli,0.9403973509933775,0.9466666666666667,0.9435215946843853,150.0
caprese_salad,0.8627450980392157,0.88,0.8712871287128714,150.0
carrot_cake,0.8391608391608392,0.8,0.8191126279863481,150.0
ceviche,0.7870967741935484,0.8133333333333334,0.7999999999999999,150.0
cheese_plate,0.948051948051948,0.9733333333333334,0.9605263157894737,150.0
cheesecake,0.8175182481751825,0.7466666666666667,0.7804878048780487,150.0
chicken_curry,0.8242424242424242,0.9066666666666666,0.8634920634920634,150.0
chicken_quesadilla,0.916083916083916,0.8733333333333333,0.89419795221843,150.0
chicken_wings,0.9285714285714286,0.9533333333333334,0.9407894736842105,150.0
chocolate_cake,0.8125,0.78,0.7959183673469388,150.0
chocolate_mousse,0.7142857142857143,0.7333333333333333,0.7236842105263158,150.0
churros,0.9652777777777778,0.9266666666666666,0.9455782312925171,150.0
clam_chowder,0.8831168831168831,0.9066666666666666,0.894736842105263,150.0
club_sandwich,0.9672131147540983,0.7866666666666666,0.8676470588235293,150.0
crab_cakes,0.8280254777070064,0.8666666666666667,0.8469055374592834,150.0
creme_brulee,0.9708029197080292,0.8866666666666667,0.926829268292683,150.0
croque_madame,0.8838709677419355,0.9133333333333333,0.8983606557377048,150.0
cup_cakes,0.8881578947368421,0.9,0.8940397350993378,150.0
deviled_eggs,0.98,0.98,0.98,150.0
donuts,0.8407643312101911,0.88,0.8599348534201954,150.0
dumplings,0.9194630872483222,0.9133333333333333,0.9163879598662208,150.0
edamame,1.0,0.9866666666666667,0.9932885906040269,150.0
eggs_benedict,0.9150326797385621,0.9333333333333333,0.9240924092409241,150.0
escargots,0.9154929577464789,0.8666666666666667,0.8904109589041095,150.0
falafel,0.910958904109589,0.8866666666666667,0.8986486486486487,150.0
filet_mignon,0.6589595375722543,0.76,0.7058823529411764,150.0
fish_and_chips,0.971830985915493,0.92,0.9452054794520549,150.0
foie_gras,0.7619047619047619,0.7466666666666667,0.7542087542087542,150.0
french_fries,0.9166666666666666,0.9533333333333334,0.934640522875817,150.0
french_onion_soup,0.9013157894736842,0.9133333333333333,0.9072847682119205,150.0
french_toast,0.8203592814371258,0.9133333333333333,0.8643533123028392,150.0
fried_calamari,0.9154929577464789,0.8666666666666667,0.8904109589041095,150.0
fried_rice,0.922077922077922,0.9466666666666667,0.9342105263157895,150.0
frozen_yogurt,0.9281045751633987,0.9466666666666667,0.9372937293729374,150.0
garlic_bread,0.8838709677419355,0.9133333333333333,0.8983606557377048,150.0
gnocchi,0.8615384615384616,0.7466666666666667,0.8,150.0
greek_salad,0.8580246913580247,0.9266666666666666,0.8910256410256411,150.0
grilled_cheese_sandwich,0.7588235294117647,0.86,0.80625,150.0
grilled_salmon,0.8934426229508197,0.7266666666666667,0.8014705882352943,150.0
guacamole,0.94,0.94,0.94,150.0
gyoza,0.88,0.88,0.88,150.0
hamburger,0.7953216374269005,0.9066666666666666,0.8473520249221183,150.0
hot_and_sour_soup,0.9210526315789473,0.9333333333333333,0.9271523178807947,150.0
hot_dog,0.8896103896103896,0.9133333333333333,0.9013157894736842,150.0
huevos_rancheros,0.8389261744966443,0.8333333333333334,0.8361204013377926,150.0
hummus,0.9436619718309859,0.8933333333333333,0.9178082191780823,150.0
ice_cream,0.8024691358024691,0.8666666666666667,0.8333333333333334,150.0
lasagna,0.7818181818181819,0.86,0.819047619047619,150.0
lobster_bisque,0.9,0.9,0.9,150.0
lobster_roll_sandwich,0.9586206896551724,0.9266666666666666,0.9423728813559322,150.0
macaroni_and_cheese,0.920863309352518,0.8533333333333334,0.8858131487889273,150.0
macarons,0.9074074074074074,0.98,0.9423076923076924,150.0
miso_soup,0.9726027397260274,0.9466666666666667,0.9594594594594594,150.0
mussels,0.9333333333333333,0.9333333333333333,0.9333333333333333,150.0
nachos,0.8625,0.92,0.8903225806451613,150.0
omelette,0.8766233766233766,0.9,0.888157894736842,150.0
onion_rings,0.874251497005988,0.9733333333333334,0.9211356466876972,150.0
oysters,0.9733333333333334,0.9733333333333334,0.9733333333333334,150.0
pad_thai,0.9473684210526315,0.96,0.9536423841059603,150.0
paella,0.9440559440559441,0.9,0.9215017064846417,150.0
pancakes,0.9013157894736842,0.9133333333333333,0.9072847682119205,150.0
panna_cotta,0.8012820512820513,0.8333333333333334,0.8169934640522877,150.0
peking_duck,0.922077922077922,0.9466666666666667,0.9342105263157895,150.0
pho,0.9523809523809523,0.9333333333333333,0.9427609427609427,150.0
pizza,0.9096774193548387,0.94,0.9245901639344262,150.0
pork_chop,0.6264367816091954,0.7266666666666667,0.6728395061728394,150.0
poutine,0.920863309352518,0.8533333333333334,0.8858131487889273,150.0
prime_rib,0.7791411042944786,0.8466666666666667,0.8115015974440896,150.0
pulled_pork_sandwich,0.8023952095808383,0.8933333333333333,0.8454258675078864,150.0
ramen,0.9084967320261438,0.9266666666666666,0.9174917491749175,150.0
ravioli,0.7819548872180451,0.6933333333333334,0.734982332155477,150.0
red_velvet_cake,0.8238993710691824,0.8733333333333333,0.8478964401294499,150.0
risotto,0.8811188811188811,0.84,0.8600682593856654,150.0
samosa,0.9558823529411765,0.8666666666666667,0.9090909090909091,150.0
sashimi,0.8954248366013072,0.9133333333333333,0.9042904290429042,150.0
scallops,0.781021897810219,0.7133333333333334,0.7456445993031359,150.0
seaweed_salad,0.9539473684210527,0.9666666666666667,0.9602649006622516,150.0
shrimp_and_grits,0.8733333333333333,0.8733333333333333,0.8733333333333333,150.0
spaghetti_bolognese,0.993006993006993,0.9466666666666667,0.969283276450512,150.0
spaghetti_carbonara,0.959731543624161,0.9533333333333334,0.9565217391304347,150.0
spring_rolls,0.8838709677419355,0.9133333333333333,0.8983606557377048,150.0
steak,0.6347826086956522,0.4866666666666667,0.5509433962264151,150.0
strawberry_shortcake,0.8280254777070064,0.8666666666666667,0.8469055374592834,150.0
sushi,0.8733333333333333,0.8733333333333333,0.8733333333333333,150.0
tacos,0.8707482993197279,0.8533333333333334,0.8619528619528619,150.0
takoyaki,0.8757396449704142,0.9866666666666667,0.9278996865203761,150.0
tiramisu,0.8258064516129032,0.8533333333333334,0.839344262295082,150.0
tuna_tartare,0.8347107438016529,0.6733333333333333,0.7453874538745388,150.0
waffles,0.9402985074626866,0.84,0.8873239436619718,150.0
accuracy,0.8767656765676568,0.8767656765676568,0.8767656765676568,0.8767656765676568
macro avg,0.8784637002033778,0.8767656765676568,0.8764716311583358,15150.0
weighted avg,0.8784637002033778,0.8767656765676568,0.8764716311583358,15150.0
