,precision,recall,f1-score,support
apple_pie,0.8157894736842105,0.8266666666666667,0.8211920529801323,150.0
baby_back_ribs,0.8323353293413174,0.9266666666666666,0.8769716088328076,150.0
baklava,0.98,0.98,0.98,150.0
beef_carpaccio,0.9142857142857143,0.8533333333333334,0.8827586206896552,150.0
beef_tartare,0.8506493506493507,0.8733333333333333,0.8618421052631579,150.0
beet_salad,0.8698630136986302,0.8466666666666667,0.8581081081081081,150.0
beignets,0.9032258064516129,0.9333333333333333,0.9180327868852459,150.0
bibimbap,0.9354838709677419,0.9666666666666667,0.9508196721311476,150.0
bread_pudding,0.7666666666666667,0.7666666666666667,0.7666666666666667,150.0
breakfast_burrito,0.9015151515151515,0.7933333333333333,0.8439716312056738,150.0
bruschetta,0.8947368421052632,0.7933333333333333,0.8409893992932862,150.0
caesar_salad,0.9032258064516129,0.9333333333333333,0.9180327868852459,150.0
cannoli,0.9527027027027027,0.94,0.9463087248322148,150.0
caprese_salad,0.85625,0.9133333333333333,0.8838709677419355,150.0
carrot_cake,0.8863636363636364,0.78,0.8297872340425532,150.0
ceviche,0.8561151079136691,0.7933333333333333,0.8235294117647058,150.0
cheese_plate,0.9602649006622517,0.9666666666666667,0.9634551495016612,150.0
cheesecake,0.7972027972027972,0.76,0.7781569965870307,150.0
chicken_curry,0.8580645161290322,0.8866666666666667,0.8721311475409836,150.0
chicken_quesadilla,0.8774193548387097,0.9066666666666666,0.8918032786885245,150.0
chicken_wings,0.8795180722891566,0.9733333333333334,0.9240506329113923,150.0
chocolate_cake,0.7969924812030075,0.7066666666666667,0.7491166077738516,150.0
chocolate_mousse,0.696969696969697,0.7666666666666667,0.7301587301587302,150.0
churros,0.9642857142857143,0.9,0.9310344827586207,150.0
clam_chowder,0.9084967320261438,0.9266666666666666,0.9174917491749175,150.0
club_sandwich,0.8726114649681529,0.9133333333333333,0.8925081433224756,150.0
crab_cakes,0.7764705882352941,0.88,0.825,150.0
creme_brulee,0.9324324324324325,0.92,0.9261744966442953,150.0
croque_madame,0.9194630872483222,0.9133333333333333,0.9163879598662208,150.0
cup_cakes,0.8910256410256411,0.9266666666666666,0.9084967320261438,150.0
deviled_eggs,0.98,0.98,0.98,150.0
donuts,0.8343949044585988,0.8733333333333333,0.8534201954397393,150.0
