,precision,recall,f1-score,support
apple_pie,0.6585365853658537,0.72,0.6878980891719746,150.0
baby_back_ribs,0.851063829787234,0.8,0.8247422680412372,150.0
baklava,0.8888888888888888,0.9066666666666666,0.8976897689768976,150.0
beef_carpaccio,0.7556818181818182,0.8866666666666667,0.8159509202453988,150.0
beef_tartare,0.8137931034482758,0.7866666666666666,0.7999999999999999,150.0
beet_salad,0.7638888888888888,0.7333333333333333,0.7482993197278911,150.0
beignets,0.8490566037735849,0.9,0.8737864077669903,150.0
bibimbap,0.9096774193548387,0.94,0.9245901639344262,150.0
bread_pudding,0.6556291390728477,0.66,0.6578073089700996,150.0
breakfast_burrito,0.8095238095238095,0.7933333333333333,0.8013468013468015,150.0
bruschetta,0.7659574468085106,0.72,0.7422680412371133,150.0
caesar_salad,0.9285714285714286,0.8666666666666667,0.896551724137931,150.0
cannoli,0.917910447761194,0.82,0.8661971830985915,150.0
caprese_salad,0.7692307692307693,0.8666666666666667,0.8150470219435738,150.0
carrot_cake,0.8031496062992126,0.68,0.7364620938628159,150.0
ceviche,0.7936507936507936,0.6666666666666666,0.7246376811594203,150.0
cheese_plate,0.9090909090909091,0.9333333333333333,0.9210526315789475,150.0
cheesecake,0.72,0.72,0.72,150.0
chicken_curry,0.8154761904761905,0.9133333333333333,0.8616352201257862,150.0
chicken_quesadilla,0.8928571428571429,0.8333333333333334,0.8620689655172413,150.0
chicken_wings,0.9194630872483222,0.9133333333333333,0.9163879598662208,150.0
chocolate_cake,0.7851851851851852,0.7066666666666667,0.7438596491228071,150.0
chocolate_mousse,0.6526946107784432,0.7266666666666667,0.6876971608832808,150.0
churros,0.8523489932885906,0.8466666666666667,0.8494983277591973,150.0
clam_chowder,0.8758169934640523,0.8933333333333333,0.8844884488448845,150.0
club_sandwich,0.8741721854304636,0.88,0.877076411960133,150.0
crab_cakes,0.7730496453900709,0.7266666666666667,0.7491408934707905,150.0
creme_brulee,0.9115646258503401,0.8933333333333333,0.9023569023569025,150.0
croque_madame,0.8823529411764706,0.9,0.8910891089108911,150.0
cup_cakes,0.8441558441558441,0.8666666666666667,0.8552631578947368,150.0
deviled_eggs,0.9655172413793104,0.9333333333333333,0.9491525423728815,150.0
donuts,0.8705035971223022,0.8066666666666666,0.8373702422145329,150.0
dumplings,0.9019607843137255,0.92,0.9108910891089109,150.0
edamame,0.9932432432432432,0.98,0.9865771812080537,150.0
eggs_benedict,0.9342105263157895,0.9466666666666667,0.9403973509933775,150.0
escargots,0.8445945945945946,0.8333333333333334,0.8389261744966443,150.0
falafel,0.8289473684210527,0.84,0.8344370860927153,150.0
filet_mignon,0.5882352941176471,0.6666666666666666,0.625,150.0
fish_and_chips,0.8881987577639752,0.9533333333333334,0.9196141479099679,150.0
foie_gras,0.5963855421686747,0.66,0.6265822784810127,150.0
french_fries,0.8475609756097561,0.9266666666666666,0.8853503184713376,150.0
french_onion_soup,0.7784431137724551,0.8666666666666667,0.8201892744479495,150.0
french_toast,0.8157894736842105,0.8266666666666667,0.8211920529801323,150.0
fried_calamari,0.8461538461538461,0.8066666666666666,0.8259385665529009,150.0
fried_rice,0.8933333333333333,0.8933333333333333,0.8933333333333333,150.0
frozen_yogurt,0.9139072847682119,0.92,0.9169435215946843,150.0
garlic_bread,0.8333333333333334,0.9,0.8653846153846153,150.0
gnocchi,0.7950819672131147,0.6466666666666666,0.7132352941176471,150.0
greek_salad,0.8427672955974843,0.8933333333333333,0.8673139158576051,150.0
grilled_cheese_sandwich,0.7730496453900709,0.7266666666666667,0.7491408934707905,150.0
grilled_salmon,0.6609195402298851,0.7666666666666667,0.7098765432098766,150.0
guacamole,0.9328859060402684,0.9266666666666666,0.9297658862876254,150.0
gyoza,0.8840579710144928,0.8133333333333334,0.8472222222222223,150.0
hamburger,0.7964071856287425,0.8866666666666667,0.8391167192429022,150.0
hot_and_sour_soup,0.88125,0.94,0.9096774193548387,150.0
hot_dog,0.9338235294117647,0.8466666666666667,0.8881118881118881,150.0
huevos_rancheros,0.7666666666666667,0.7666666666666667,0.7666666666666667,150.0
hummus,0.8707482993197279,0.8533333333333334,0.8619528619528619,150.0
ice_cream,0.8055555555555556,0.7733333333333333,0.7891156462585034,150.0
lasagna,0.7724137931034483,0.7466666666666667,0.7593220338983051,150.0
