,precision,recall,f1-score,support
apple_pie,0.6821192052980133,0.6866666666666666,0.6843853820598007,150.0
baby_back_ribs,0.7905405405405406,0.78,0.7852348993288591,150.0
baklava,0.8933333333333333,0.8933333333333333,0.8933333333333333,150.0
beef_carpaccio,0.8287671232876712,0.8066666666666666,0.8175675675675675,150.0
beef_tartare,0.8074074074074075,0.7266666666666667,0.7649122807017544,150.0
beet_salad,0.8181818181818182,0.72,0.7659574468085107,150.0
beignets,0.7988505747126436,0.9266666666666666,0.8580246913580247,150.0
bibimbap,0.9647887323943662,0.9133333333333333,0.9383561643835617,150.0
bread_pudding,0.7045454545454546,0.62,0.6595744680851063,150.0
breakfast_burrito,0.8394160583941606,0.7666666666666667,0.8013937282229966,150.0
bruschetta,0.7171052631578947,0.7266666666666667,0.7218543046357616,150.0
caesar_salad,0.9071428571428571,0.8466666666666667,0.8758620689655173,150.0
cannoli,0.7901234567901234,0.8533333333333334,0.8205128205128205,150.0
caprese_salad,0.8,0.8266666666666667,0.8131147540983606,150.0
carrot_cake,0.8125,0.6933333333333334,0.7482014388489209,150.0
ceviche,0.7272727272727273,0.7466666666666667,0.7368421052631579,150.0
cheese_plate,0.9337748344370861,0.94,0.93687707641196,150.0
cheesecake,0.6685714285714286,0.78,0.7200000000000001,150.0
chicken_curry,0.84375,0.9,0.870967741935484,150.0
chicken_quesadilla,0.8387096774193549,0.8666666666666667,0.8524590163934426,150.0
chicken_wings,0.9084967320261438,0.9266666666666666,0.9174917491749175,150.0
chocolate_cake,0.7769230769230769,0.6733333333333333,0.7214285714285714,150.0
chocolate_mousse,0.630057803468208,0.7266666666666667,0.674922600619195,150.0
churros,0.9224806201550387,0.7933333333333333,0.8530465949820788,150.0
clam_chowder,0.8933333333333333,0.8933333333333333,0.8933333333333333,150.0
club_sandwich,0.9251700680272109,0.9066666666666666,0.9158249158249158,150.0
crab_cakes,0.7484276729559748,0.7933333333333333,0.7702265372168285,150.0
creme_brulee,0.9496402877697842,0.88,0.9134948096885813,150.0
croque_madame,0.910958904109589,0.8866666666666667,0.8986486486486487,150.0
cup_cakes,0.8355263157894737,0.8466666666666667,0.8410596026490067,150.0
deviled_eggs,0.9722222222222222,0.9333333333333333,0.9523809523809524,150.0
donuts,0.8287671232876712,0.8066666666666666,0.8175675675675675,150.0
dumplings,0.9310344827586207,0.9,0.9152542372881356,150.0
edamame,0.9932432432432432,0.98,0.9865771812080537,150.0
eggs_benedict,0.9342105263157895,0.9466666666666667,0.9403973509933775,150.0
escargots,0.8040540540540541,0.7933333333333333,0.7986577181208053,150.0
falafel,0.8311688311688312,0.8533333333333334,0.8421052631578949,150.0
filet_mignon,0.6785714285714286,0.5066666666666667,0.5801526717557253,150.0
fish_and_chips,0.9333333333333333,0.9333333333333333,0.9333333333333333,150.0
foie_gras,0.5698324022346368,0.68,0.6200607902735563,150.0
french_fries,0.8974358974358975,0.9333333333333333,0.9150326797385621,150.0
french_onion_soup,0.7705882352941177,0.8733333333333333,0.81875,150.0
french_toast,0.8211920529801324,0.8266666666666667,0.8239202657807309,150.0
fried_calamari,0.8116883116883117,0.8333333333333334,0.8223684210526316,150.0
fried_rice,0.9047619047619048,0.8866666666666667,0.8956228956228958,150.0
frozen_yogurt,0.8773006134969326,0.9533333333333334,0.9137380191693292,150.0
garlic_bread,0.8741721854304636,0.88,0.877076411960133,150.0
gnocchi,0.7557251908396947,0.66,0.7046263345195729,150.0
greek_salad,0.8303030303030303,0.9133333333333333,0.8698412698412699,150.0
grilled_cheese_sandwich,0.7552447552447552,0.72,0.7372013651877133,150.0
grilled_salmon,0.6770186335403726,0.7266666666666667,0.7009646302250804,150.0
guacamole,0.9708029197080292,0.8866666666666667,0.926829268292683,150.0
gyoza,0.8152866242038217,0.8533333333333334,0.8338762214983714,150.0
hamburger,0.831081081081081,0.82,0.8255033557046979,150.0
hot_and_sour_soup,0.8511904761904762,0.9533333333333334,0.89937106918239,150.0
hot_dog,0.9166666666666666,0.88,0.8979591836734694,150.0
huevos_rancheros,0.7329192546583851,0.7866666666666666,0.7588424437299036,150.0
hummus,0.8920863309352518,0.8266666666666667,0.8581314878892733,150.0
ice_cream,0.8432835820895522,0.7533333333333333,0.7957746478873239,150.0
lasagna,0.7954545454545454,0.7,0.7446808510638298,150.0
lobster_bisque,0.89171974522293,0.9333333333333333,0.9120521172638437,150.0
lobster_roll_sandwich,0.9465648854961832,0.8266666666666667,0.8825622775800712,150.0
macaroni_and_cheese,0.9191176470588235,0.8333333333333334,0.8741258741258741,150.0
macarons,0.8819875776397516,0.9466666666666667,0.9131832797427653,150.0
miso_soup,0.9523809523809523,0.9333333333333333,0.9427609427609427,150.0
mussels,0.9432624113475178,0.8866666666666667,0.9140893470790379,150.0
nachos,0.8354430379746836,0.88,0.8571428571428572,150.0
omelette,0.8355263157894737,0.8466666666666667,0.8410596026490067,150.0
onion_rings,0.8490566037735849,0.9,0.8737864077669903,150.0
oysters,0.9539473684210527,0.9666666666666667,0.9602649006622516,150.0
pad_thai,0.92,0.92,0.92,150.0
paella,0.8353658536585366,0.9133333333333333,0.8726114649681529,150.0
pancakes,0.9130434782608695,0.84,0.8749999999999999,150.0
panna_cotta,0.75625,0.8066666666666666,0.7806451612903225,150.0
peking_duck,0.864516129032258,0.8933333333333333,0.8786885245901639,150.0
pho,0.9050632911392406,0.9533333333333334,0.9285714285714286,150.0
pizza,0.9025974025974026,0.9266666666666666,0.9144736842105262,150.0
pork_chop,0.5697674418604651,0.6533333333333333,0.608695652173913,150.0
poutine,0.8978102189781022,0.82,0.8571428571428571,150.0
prime_rib,0.7055214723926381,0.7666666666666667,0.7348242811501597,150.0
pulled_pork_sandwich,0.6858638743455497,0.8733333333333333,0.7683284457478005,150.0
ramen,0.9389312977099237,0.82,0.8754448398576513,150.0
ravioli,0.6266666666666667,0.6266666666666667,0.6266666666666667,150.0
red_velvet_cake,0.821917808219178,0.8,0.8108108108108107,150.0
risotto,0.8592592592592593,0.7733333333333333,0.8140350877192983,150.0
samosa,0.9230769230769231,0.88,0.9010238907849829,150.0
sashimi,0.9148936170212766,0.86,0.8865979381443299,150.0
