,precision,recall,f1-score,support
Society & Culture,0.6227934793093469,0.614904761904762,0.6188239804475967,21000.0
Science & Mathematics,0.7008507989209379,0.8041428571428572,0.7489522119968954,21000.0
Health,0.7427860276746541,0.8384285714285714,0.7877147458840372,21000.0
Education & Reference,0.6369715786959637,0.508,0.5652219985164777,21000.0
Computers & Internet,0.7736697173402446,0.9097619047619048,0.83621482032652,21000.0
Sports,0.8868950769373809,0.9084761904761904,0.8975559267013243,21000.0
Business & Finance,0.6665004674353381,0.5092138469596685,0.5773362846191221,21001.0
Entertainment & Music,0.81636165452355,0.6776190476190476,0.7405479951081159,21000.0
Family & Relationships,0.7172817358619511,0.7996666666666666,0.7562370530487256,21000.0
Politics & Government,0.7740786979238914,0.7971904761904762,0.7854646116311258,21000.0
accuracy,0.7367393488602435,0.7367393488602435,0.7367393488602435,0.7367393488602435
macro avg,0.7338189234623258,0.7367404323150145,0.7314069628279941,210001.0
weighted avg,0.733818602899776,0.7367393488602435,0.7314062291615914,210001.0
