,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,13865,506,587,1289,247,168,682,747,1688,1221
Science & Mathematics,387,17459,1040,1132,284,96,229,151,86,136
Health,474,736,17570,333,98,228,251,183,965,162
Education & Reference,1438,3560,476,11590,723,262,960,531,328,1132
Computers & Internet,107,183,34,297,19270,76,398,362,170,103
Sports,151,241,236,160,119,19429,128,267,142,127
Business & Finance,1423,968,852,1542,1734,362,10493,943,1463,1221
Entertainment & Music,1155,316,317,550,776,465,478,15798,820,325
Family & Relationships,1162,64,760,270,242,118,355,489,17286,254
Politics & Government,915,215,135,720,165,123,801,135,286,17505
