,precision,recall,f1-score,support
Society & Culture,0.6662241235187097,0.6451904761904762,0.6555386215738926,21000.0
Science & Mathematics,0.7235973597359736,0.8352380952380952,0.7754199823165341,21000.0
Health,0.785104322563606,0.8493333333333334,0.8159568141269042,21000.0
Education & Reference,0.6278492789579779,0.5784285714285714,0.6021265521600119,21000.0
Computers & Internet,0.8511100058778315,0.8963809523809524,0.8731590787856298,21000.0
Sports,0.9235119332886035,0.9176190476190477,0.9205560598098695,21000.0
Business & Finance,0.6382397084048027,0.5669730012856531,0.6004992813374688,21001.0
Entertainment & Music,0.7971603451735902,0.7566190476190476,0.7763607935111893,21000.0
Family & Relationships,0.7719405225385806,0.7836666666666666,0.7777593988515796,21000.0
Politics & Government,0.8193365577214324,0.7986190476190477,0.8088451614458994,21000.0
accuracy,0.7628058914005171,0.7628058914005171,0.7628058914005171,0.7628058914005171
macro avg,0.7604074157781108,0.7628068239380892,0.7606221743918979,210001.0
weighted avg,0.7604068340298936,0.7628058914005171,0.7606214119055619,210001.0
