,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,13549,424,640,1610,166,146,979,993,1419,1074
Science & Mathematics,461,17540,957,1134,189,78,318,148,55,120
Health,506,757,17836,320,46,144,436,216,607,132
Education & Reference,1186,3580,504,12147,556,224,1192,472,287,852
Computers & Internet,127,248,51,316,18824,63,864,236,187,84
Sports,128,255,278,180,95,19270,287,276,118,113
Business & Finance,1368,865,821,1579,1128,294,11907,954,1265,820
Entertainment & Music,930,281,301,675,845,408,731,15889,682,258
Family & Relationships,1228,77,1185,354,155,131,582,586,16457,245
Politics & Government,854,213,145,1032,113,108,1360,162,242,16771
