,precision,recall,f1-score,support
Society & Culture,0.6438174588146185,0.6476190476190476,0.6457126578672491,21000.0
Science & Mathematics,0.751683839600339,0.8024761904761905,0.7762500287892398,21000.0
Health,0.7648477157360406,0.861,0.8100806451612903,21000.0
Education & Reference,0.6450105926449019,0.5654285714285714,0.6026034662133015,21000.0
Computers & Internet,0.8619489559164734,0.8845238095238095,0.8730904817861339,21000.0
Sports,0.9333365891775738,0.910047619047619,0.9215449898736618,21000.0
Business & Finance,0.6841286629751757,0.523594114565973,0.5931919943895991,21001.0
Entertainment & Music,0.7930659818253655,0.7646666666666667,0.7786074476338247,21000.0
Family & Relationships,0.7396888643974397,0.830952380952381,0.7826691484828777,21000.0
Politics & Government,0.7845222731520627,0.8394761904761905,0.8110694485979159,21000.0
accuracy,0.7629773191556231,0.7629773191556231,0.7629773191556231,0.7629773191556231
macro avg,0.7602050934239991,0.7629784590756449,0.7594820308795094,210001.0
weighted avg,0.7602047311570077,0.7629773191556231,0.7594812390259634,210001.0
