,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,13600,339,731,1426,143,142,654,777,1875,1313
Science & Mathematics,525,16852,1463,1085,230,99,272,187,79,208
Health,485,352,18081,300,38,129,285,159,979,192
Education & Reference,1328,3403,630,11874,485,213,1001,596,366,1104
Computers & Internet,119,151,83,442,18575,49,872,372,205,132
Sports,177,179,316,183,116,19111,241,401,146,130
Business & Finance,1636,752,962,1596,1092,264,10996,982,1524,1197
Entertainment & Music,1347,222,388,473,632,311,537,16058,772,260
Family & Relationships,1036,42,853,221,162,73,320,537,17450,306
Politics & Government,871,127,133,809,77,85,895,179,195,17629
