,precision,recall,f1-score,support
Society & Culture,0.6803199347903612,0.6359047619047619,0.6573629673386006,21000.0
Science & Mathematics,0.7469239621138355,0.8036190476190476,0.7742349864660274,21000.0
Health,0.7864765531594562,0.8457619047619047,0.815042562467017,21000.0
Education & Reference,0.6615053262704464,0.5411428571428571,0.5953010817465099,21000.0
Computers & Internet,0.8675014016071763,0.8841904761904762,0.8757664371285728,21000.0
Sports,0.9192487367718563,0.9182857142857143,0.9187669731764257,21000.0
Business & Finance,0.623036373220875,0.5627827246321604,0.5913787495934553,21001.0
Entertainment & Music,0.7724630146050953,0.7782380952380953,0.7753398012192518,21000.0
Family & Relationships,0.7389702732802194,0.8215238095238095,0.778063410454156,21000.0
Politics & Government,0.7887279454898245,0.8323333333333334,0.8099441625541577,21000.0
accuracy,0.7623773220127523,0.7623773220127523,0.7623773220127523,0.7623773220127523
macro avg,0.7585173521309146,0.7623782724632161,0.7591201132144174,210001.0
weighted avg,0.7585167069864681,0.7623773220127523,0.7591193144498228,210001.0
