,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,13354,397,617,1194,122,173,1082,1033,1796,1232
Science & Mathematics,435,16876,1177,1126,230,137,535,207,96,181
Health,403,546,17761,286,55,137,434,230,1006,142
Education & Reference,1417,3273,559,11364,504,243,1533,661,369,1077
Computers & Internet,128,152,58,306,18568,85,918,459,213,113
Sports,131,153,304,151,77,19284,261,357,147,135
Business & Finance,1220,738,871,1275,1051,324,11819,1061,1456,1186
Entertainment & Music,812,243,318,424,567,371,822,16343,833,267
Family & Relationships,901,47,765,251,149,109,568,609,17252,349
Politics & Government,828,169,153,802,81,115,998,197,178,17479
