,precision,recall,f1-score,support
Society & Culture,0.6562895839423171,0.6414761904761904,0.6487983432066657,21000.0
Science & Mathematics,0.7504044580262448,0.7951428571428572,0.7721261444557477,21000.0
Health,0.7982891204441006,0.8354285714285714,0.8164366986993042,21000.0
Education & Reference,0.6202734511944709,0.5897619047619047,0.6046329972905021,21000.0
Computers & Internet,0.8362239297475302,0.9069047619047619,0.8701313535122787,21000.0
Sports,0.9111100676183321,0.923952380952381,0.9174862871193493,21000.0
Business & Finance,0.670254819680107,0.5247845340698062,0.5886657408396538,21001.0
Entertainment & Music,0.7760893533387662,0.770952380952381,0.7735123384534531,21000.0
Family & Relationships,0.758033941144611,0.7997619047619048,0.7783390490314209,21000.0
Politics & Government,0.7970847894059224,0.8254761904761905,0.8110320950687752,21000.0
accuracy,0.7613630411283756,0.7613630411283756,0.7613630411283756,0.7613630411283756
macro avg,0.7574053514542404,0.7613641676926949,0.758116104767715,210001.0
weighted avg,0.7574049364536841,0.7613630411283756,0.7581152978650625,210001.0
