,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,13471,396,553,1670,200,175,857,964,1594,1120
Science & Mathematics,471,16698,1074,1560,251,168,296,247,68,167
Health,542,637,17544,361,79,188,385,219,884,161
Education & Reference,1181,3111,452,12385,604,279,1113,626,310,939
Computers & Internet,98,147,38,363,19045,65,609,344,174,117
Sports,138,140,241,170,102,19403,164,405,132,105
Business & Finance,1436,736,826,1628,1381,365,11021,1065,1350,1193
Entertainment & Music,1067,201,313,545,770,402,542,16190,704,266
Family & Relationships,1219,47,814,323,220,123,505,609,16795,345
Politics & Government,903,139,122,962,123,128,951,192,145,17335
