,precision,recall,f1-score,support
Society & Culture,0.6455992271317436,0.6046190476190476,0.624437504610618,21000.0
Science & Mathematics,0.6979231182129733,0.8049047619047619,0.7476060947831664,21000.0
Health,0.7794612794612794,0.8157619047619048,0.7971985667085486,21000.0
Education & Reference,0.6234736962227547,0.5203333333333333,0.5672532834968592,21000.0
Computers & Internet,0.8234802865808096,0.8921428571428571,0.8564375671413225,21000.0
Sports,0.886693510628336,0.9018095238095238,0.894187638698711,21000.0
Business & Finance,0.6917408231368187,0.47378696252559405,0.5623851914653102,21001.0
Entertainment & Music,0.7373875359178482,0.7454285714285714,0.7413862511544199,21000.0
Family & Relationships,0.6985028603886883,0.8198095238095238,0.7543102503998073,21000.0
Politics & Government,0.7622066360938764,0.8072857142857143,0.7840987928402942,21000.0
accuracy,0.7385869591097185,0.7385869591097185,0.7385869591097185,0.7385869591097185
macro avg,0.7346468973775127,0.7385882200620832,0.7329301141299057,210001.0
weighted avg,0.7346466930638466,0.7385869591097185,0.7329293020150935,210001.0
