,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,12697,542,629,1364,221,229,635,1169,2152,1362
Science & Mathematics,485,16903,1134,1097,328,195,226,247,139,246
Health,465,788,17131,381,84,243,279,279,1185,165
Education & Reference,1511,3636,542,10927,727,345,845,708,482,1277
Computers & Internet,119,217,63,313,18735,109,539,528,251,126
Sports,159,292,285,202,148,18938,166,431,206,173
Business & Finance,1377,1041,872,1623,1469,454,9950,1213,1705,1297
Entertainment & Music,994,419,378,553,684,538,435,15654,1029,316
Family & Relationships,937,92,753,262,201,141,320,751,17216,327
Politics & Government,923,289,191,804,154,166,989,249,282,16953
